1	0.31
2	0.9
3	1.22
4	1.19
5	1.23
6	1.34
7	0.58
8	0.81
9	0.72
10	0.11
11	0.37
12	0.95
13	0.68
14	1.75
15	1.76
16	1.86
17	1.82
18	0.19
19	0.92
20	0.48
21	1.71
22	2.46
23	2.85
24	2.56
25	2.68
26	2.71
27	2.75
28	1.6
29	1.22
30	1.44
31	3.19
32	2.21
33	0.41
34	0.43
35	0.5
36	1.87
37	0.44
38	1.36
39	0.16
40	3.58
41	3.68
42	3.88
43	4.7
44	2.58
45	2.36
46	3.12
47	0.97
48	0.26
49	2.68
50	2.58
51	3.56
52	5.34
53	6.6
54	6.83
55	7.1
56	7.53
57	3.66
58	5.23
59	8.03
60	0.84
61	4.74
62	8.61
63	8.41
64	9.26
65	8.39
66	3.04
67	2.94
68	4.28
	
	
1	10.31
2	10.79
3	10.65
4	10.11
5	10.91
6	3.84
7	2.39
8	4.58
9	5.42
10	10.22
11	10.82
12	4.91
13	11.61
14	11.39
15	10.5
16	8.22
17	6.78
18	7.62
19	13.41
20	10.75
21	15.96
22	15.87
23	6.14
24	4.76
25	9.55
26	4.32
27	7.57
28	14.72
29	10.45
30	14.88
31	14.48
32	8.26
33	18.24
34	8.84
35	4.93
36	12.78
37	4.16
38	6.43
39	7.69
40	2.19
41	3.73
42	8.96
43	14.42
44	7.75
45	6.82
46	7.34
47	14.97
48	20.63
49	21.99
50	22.38
51	20
52	20.64
53	13.86
54	10.93
55	20.33
56	20.27
57	15.9
58	17.61
59	18.55
60	13.35
61	15.14
62	14.53
63	10.65
64	5.1
65	10.52
66	13.57
67	11.05
68	18.7
	
	
1	20.58
2	14.8
3	4.94
4	12.71
5	4.61
6	3.45
7	9.65
8	10.88
9	16.17
10	11.9
11	11.52
12	19.47
13	25.45
14	26.5
15	22.91
16	6.58
17	21.82
18	12.7
19	18.87
20	16.71
21	15.57
22	11.53
23	19.21
24	25.55
25	24.09
26	27.03
27	13.06
28	14.68
29	20.31
30	19.99
31	18.04
32	12.77
33	7.61
34	11.27
35	7.98
36	13.79
37	15.36
38	18.34
39	23.2
40	8.89
41	12.95
42	19.88
43	8.78
44	12.04
45	15.86
46	11.69
47	15.04
48	10.7
49	11.13
50	20.61
51	10.16
52	8.03
53	21.16
54	9.78
55	23.06
56	22.74
57	21.78
58	14.94
59	12.73
60	20.75
61	25.1
62	14.74
63	15.01
64	9.06
65	15.53
66	22.09
67	11.16
68	24.96
	
	
1	9.13
2	7.21
3	9.32
4	19.55
5	17.47
6	22.25
7	16.01
8	3.24
9	3.73
10	10.49
11	18.22
12	10.89
13	18.85
14	4.4
15	8.31
16	14.99
17	17.09
18	15.44
19	15.64
20	15.08
21	17.37
22	19.03
23	18.84
24	19.57
25	19.47
26	18.62
27	14.61
28	13.78
29	18.95
30	17.56
31	13.16
32	5.7
33	11
34	10.73
35	2.74
36	13.21
37	11.75
38	1.85
39	0.7
40	6.19
41	16.32
42	4.42
43	12.54
44	15.01
45	10.99
46	1.38
47	2.59
48	10.97
49	15.16
50	13.74
51	13.2
52	13.25
53	6.98
54	2.65
55	10.03
56	4.81
57	5.86
58	8.24
59	12.11
60	4.09
61	3.6
62	12.01
63	6.23
64	9.53
65	6.55
66	3.7
67	4.23
68	3.72
	
	
1	5.84
2	2.15
3	0.81
4	2.28
5	4.19
6	6.64
7	8.11
8	6.25
9	1.01
10	2.32
11	4.09
12	2.52
13	6.63
14	1.98
15	3.07
16	5.43
17	6.59
18	4.58
19	1.23
20	2.6
21	4.13
22	5.92
23	3.18
24	0.97
25	0.79
26	0.47
27	0.07
28	4.42
29	3.48
30	0.98
31	0.49
32	4.43
33	4.3
34	4.24
35	4.08
36	1.32
37	3.66
38	0.06
39	2.27
40	0.01
41	1.46
42	0.5
43	0.04
44	0.53
45	0.46
46	2.51
47	1.69
48	2.48
49	2.21
50	1.48
51	1.44
52	0.57
53	0
54	1.73
55	0.14
56	1.51
57	0.54
58	1.41
59	0.42
60	0.03
61	0.07
62	0
63	0
64	0.16
65	0.74
66	0.56
67	0.6
68	1.37
